"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40054240"	15.079702	14.65558	14.88198	15.626339	14.9306135	15.243656	15.458625	15.06019	15.35298	15.439206	14.964585	15.042522
"ASHGV40054247"	10.595319	11.080996	10.426555	11.046411	11.017527	11.204335	11.630549	10.854864	11.138502	11.676311	10.862356	11.015489
"ASHGV40054248"	4.3827777	4.5798597	4.1391735	5.677873	3.811243	3.974674	4.243453	3.9325914	4.3242702	4.616032	4.0673122	4.337336
"ASHGV40054251"	15.2775135	15.546078	14.7029705	16.444725	15.85347	14.734792	16.218208	16.011621	15.286556	16.608461	16.097534	15.412826
"ASHGV40054253"	6.0603166	6.1261973	4.705783	5.149514	6.0703807	4.450973	4.8534517	6.142163	6.1358747	6.3957815	6.22648	6.120011
"ASHGV40054254"	4.9655004	4.5337524	5.621155	6.9006014	7.7368913	2.5497591	5.81347	7.1388526	2.4100163	6.158117	8.862963	7.157357
"ASHGV40054257"	8.72588	9.216191	8.482959	8.839893	8.707666	8.948156	9.090068	8.80017	8.855468	8.5844	8.364914	8.751366
"ASHGV40054259"	5.758045	8.789689	5.056363	5.3899236	8.5525255	5.4287386	5.7349696	8.05983	5.902562	5.812481	7.894218	5.1577883
"ASHGV40054260"	8.737921	8.390908	8.4089775	8.313952	8.418609	8.534944	8.373821	8.504618	8.523073	8.168375	8.065431	8.298573
"ASHGV40054263"	8.3896885	9.020408	7.684098	6.585747	7.7500525	5.712933	7.0696545	6.7140946	5.1756067	6.900413	5.9741764	5.773034
"ASHGV40054266"	11.592548	11.480286	11.45443	11.114612	11.202135	12.7798605	11.999791	11.596439	12.381961	11.387933	11.168517	11.552111
"ASHGV40054268"	13.771725	13.857308	13.464509	14.199368	13.938572	13.1682625	14.127877	13.908875	13.315721	14.096588	13.9121685	14.058971
"ASHGV40054269"	6.3777733	7.853414	5.9451857	7.498879	6.9838543	6.2560654	8.0988455	6.9943852	6.2879047	7.6017437	6.6118536	6.4816403
